"GEO_ID","NAME","B19013_001M","B19013_001E",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"310M100US32820","Memphis, TN-MS-AR Metro Area","1373","45377",
"310M100US32900","Merced, CA Metro Area","2915","42449",
"310M100US32940","Meridian, MS Micro Area","3222","29244",
"310M100US33100","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","548","45352",
"310M100US33140","Michigan City-La Porte, IN Metro Area","3410","43765",
"310M100US33220","Midland, MI Micro Area","3321","48706",
"310M100US33260","Midland, TX Metro Area","3088","53170",
"310M100US33340","Milwaukee-Waukesha-West Allis, WI Metro Area","960","49774",
"310M100US33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","647","62352",
"310M100US33500","Minot, ND Micro Area","5491","46768",
"310M100US33540","Missoula, MT Metro Area","4035","45596",
"310M100US33660","Mobile, AL Metro Area","1971","39998",
"310M100US33700","Modesto, CA Metro Area","2608","48044",
"310M100US33740","Monroe, LA Metro Area","3418","37819",
"310M100US33780","Monroe, MI Metro Area","2310","50034",
"310M100US33860","Montgomery, AL Metro Area","2397","45513",
"310M100US33980","Morehead City, NC Micro Area","4630","40614",
"310M100US34060","Morgantown, WV Metro Area","3495","43470",
"310M100US34100","Morristown, TN Metro Area","3113","37065",
"310M100US34180","Moses Lake, WA Micro Area","3389","42337",
"310M100US34340","Mount Airy, NC Micro Area","3436","35928",
"310M100US34380","Mount Pleasant, MI Micro Area","3379","31014",
"310M100US34580","Mount Vernon-Anacortes, WA Metro Area","2603","55458",
"310M100US34620","Muncie, IN Metro Area","1877","35902",
"310M100US34740","Muskegon-Norton Shores, MI Metro Area","3393","38621",
"310M100US34780","Muskogee, OK Micro Area","2984","39910",
"310M100US34820","Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area","2980","41568",
"310M100US34900","Napa, CA Metro Area","4324","64401",
"310M100US34940","Naples-Marco Island, FL Metro Area","2754","52730",
"310M100US34980","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","1076","47975",
"310M100US35100","New Bern, NC Micro Area","3006","41059",
"310M100US35260","New Castle, PA Micro Area","3566","38192",
"310M100US35300","New Haven-Milford, CT Metro Area","1655","57056",
"310M100US35340","New Iberia, LA Micro Area","6580","41709",
"310M100US35380","New Orleans-Metairie-Kenner, LA Metro Area","975","46134",
